label,job_title,complexity,results,accountability,ft_label
1,Administrative and Office Specialist I,performs routine office support activities work environment is structured varies very little from detailed specific instructions applies knowledge of basic office practices procedures and equipment e g telephone postage meter computer fax copier etc applies knowledge of grammar punctuation spelling and basic mathematics ,"Errors subject to corrective procedures. Office Support activity (e.g. delivering mail, greeting public) is customer services oriented.",Refers most questions and problems to higher levels. Responsible for performing well-defined clerical and office support tasks and responding to others according to specific guidelines.,__label__1 performs routine office support activities work environment is structured varies very little from detailed specific instructions applies knowledge of basic office practices procedures and equipment e g telephone postage meter computer fax copier etc applies knowledge of grammar punctuation spelling and basic mathematics 
2,Administrative and Office Specialist II,applies knowledge of office program support activities work environment is structured typically serves as first point of contact for assigned program maintains a variety of records such as inventories of supplies and materials prepares correspondence forms and reports produces documents related to assigned office program area may be required to establish and maintain filing systems applies specific knowledge of work unit programs and activities applies knowledge of basic math and bookkeeping telephone procedures and standard business communication ,"Direct impact on work unit’s service delivery, customer relations, and operations.",Refers some questions and problems to higher levels. Some discretion within established procedures and guidelines.,__label__2 applies knowledge of office program support activities work environment is structured typically serves as first point of contact for assigned program maintains a variety of records such as inventories of supplies and materials prepares correspondence forms and reports produces documents related to assigned office program area may be required to establish and maintain filing systems applies specific knowledge of work unit programs and activities applies knowledge of basic math and bookkeeping telephone procedures and standard business communication 
3,Administrative and Office Specialist III,acts as a specialist in assigned program area performing the most complex technical duties such as reviewing and processing claims from vendors contractors medical providers and others for reimbursement or other actions under various programs performs leads or supervises a wide variety of moderate to complex program and operational support duties applies knowledge of programmatic and administrative requirements applies knowledge of applicable computer software programs frequent contacts include internal and external customers to gather information or provide information may serve as a subject matter expert certification in program area may be preferred ,"Significant impact on internal and external service delivery, customer/employee relations and operations. Resolves problems and makes recommendations for improvements.","May answer complex questions; refers unusual problems to higher levels. Interprets and applies policies, procedures and guidelines. Exercises independent judgment.
May supervise, orient and train others.",__label__3 acts as a specialist in assigned program area performing the most complex technical duties such as reviewing and processing claims from vendors contractors medical providers and others for reimbursement or other actions under various programs performs leads or supervises a wide variety of moderate to complex program and operational support duties applies knowledge of programmatic and administrative requirements applies knowledge of applicable computer software programs frequent contacts include internal and external customers to gather information or provide information may serve as a subject matter expert certification in program area may be preferred 
1,Agricultural Specialist I ,performs a variety of duties in support of seasonal or program requirements applies understanding of agriculture techniques and procedures to the care of livestock and plants and the use of farm tools equipment follows established guidelines procedures and directions limited contacts outside of coworkers and supervision ,"Proper care of livestock and plants supports effective farm operations, and studies.  Responsible for proper operation of equipment used in farming and extension service operations",Decision-making and judgment is limited to clearly defined procedures and involves a narrow scope of well-defined duties. ,__label__1 performs a variety of duties in support of seasonal or program requirements applies understanding of agriculture techniques and procedures to the care of livestock and plants and the use of farm tools equipment follows established guidelines procedures and directions limited contacts outside of coworkers and supervision 
2,Agriculture Specialist II ,performs a variety of duties in support of seasonal or program requirements without direct supervision applies knowledge of agriculture techniques and procedures to farming and the care of livestock and plants ability to understand and apply knowledge of tools and equipment to farm applications and the ability understand and follow parts and service manuals frequent contact with students faculty and researchers to receive instructions and guidance ,"Proper care of livestock and plants supports effective farm operations, studies and extension services. Actions can impact research findings, teaching outcomes and customer service. Responsible for learning and demonstrating proper understanding for the operation, maintenance, and use of equipment used in farming and extension programs or teaching services.",May lead or provide guidance to co-workers and students as needed. Some decision making based on knowledge of function and interpretation of policy within the scope of responsibilities. Responsible for working independently based on established procedures. Refers unusual situations to a higher level. ,__label__2 performs a variety of duties in support of seasonal or program requirements without direct supervision applies knowledge of agriculture techniques and procedures to farming and the care of livestock and plants ability to understand and apply knowledge of tools and equipment to farm applications and the ability understand and follow parts and service manuals frequent contact with students faculty and researchers to receive instructions and guidance 
3,Agricultural Specialist III ,may have frequent contacts with agriculture businesses government entities and consumers to conduct inspections grade commodities and or explain laws regulations or procedural requirements applies knowledge of functional area or program ability to follow and communicate research and teaching protocols established policies procedures or laws and regulations may have frequent contact with research staff and faculty to review research or farming methods employees performing inspections or grading may be required to have certification or licensure ,"Decisions and actions determine compliance with State/Federal regulations and laws that may significantly impact the health, safety or economic wellbeing of consumers and industry. Actions may have a direct impact on research activities and findings, teaching, or farming operations. ",Makes decisions within the scope of responsibility by determining product grades or regulatory compliance. Some positions make decisions concerning research control methods or farming operations. Refers more complex issues to supervisor or chain of command. May supervise and train staff and/or oversee assigned functions or areas of a program. ,__label__3 may have frequent contacts with agriculture businesses government entities and consumers to conduct inspections grade commodities and or explain laws regulations or procedural requirements applies knowledge of functional area or program ability to follow and communicate research and teaching protocols established policies procedures or laws and regulations may have frequent contact with research staff and faculty to review research or farming methods employees performing inspections or grading may be required to have certification or licensure 
4,Agricultural Specialist IV ,interprets applies and enforces statutes laws regulations and or program policies applies considerable knowledge of specific program area agricultural commodities and products applies knowledge of agricultural principals and techniques to implement research projects and extension programs supervisory positions schedule work activities monitor work plans and staff performance provide training for subordinates monitor expenditures equipment and supplies frequent contacts with agriculture businesses government entities and consumers to investigate complaints review apply and explain program policies laws and regulations may interact with research staff and faculty to plan review and assess research methods and results ,"Proper application of laws and regulations affects the health, safety or economic wellbeing of consumers and industry. Decision-making affects public confidence and credibility of regulatory programs. Actions impact research activities/findings, teaching, or farm production. Supervisory actions and decisions impact the work team’s ability to achieve program goals and objectives. ","Performs, leads, or supervises the inspection, grading, regulation and/or quality control standards for agricultural products/services or research/teaching programs. Exercises independent judgment within scope of authority; refers significantly complex issues to supervisor or management. May have the authority to plan, schedule and direct work of others and/or oversee program functions for an assigned location, facility, territory, or work unit. May recommend penalties or appropriate course of action for violation of laws and regulations. ",__label__4 interprets applies and enforces statutes laws regulations and or program policies applies considerable knowledge of specific program area agricultural commodities and products applies knowledge of agricultural principals and techniques to implement research projects and extension programs supervisory positions schedule work activities monitor work plans and staff performance provide training for subordinates monitor expenditures equipment and supplies frequent contacts with agriculture businesses government entities and consumers to investigate complaints review apply and explain program policies laws and regulations may interact with research staff and faculty to plan review and assess research methods and results 
5,Agricultural Specialist V ,oversees and coordinates multiple projects and a variety of program activities including planning and setting program objectives oversees regulatory compliance activities including consistent interpretation and enforcement of policies procedures laws and or regulations may make recommendations for procedural and or policy changes supervises staff programs and administrative functions for assigned projects applies expert or in depth knowledge of subject area monitors industry trends and best practices frequent contacts with agriculture industry local state and federal agencies government officials professional associations and consumers to review industry compliance with laws regulations ,"Proper interpretation and application of State and Federal laws and regulations to enforce compliance affects the health, safety or economic wellbeing of consumers and industry. Proper implementation of quality control procedures ensures appropriate delivery of agricultural or horticultural products and/or inspection and regulatory services. Actions and decisions directly impact public confidence, consumer satisfaction and overall program success. Supervisory actions and decisions impact the work team’s ability to achieve program goals and objectives. ","Coordinates, supervises and/or evaluates the inspection, regulation and/or quality control standards of agricultural or horticultural products/services. Exercises independent judgment within scope of authority to determine penalties and appropriate actions for regulatory noncompliance. Refers significantly complex issues to uppermanagement ",__label__5 oversees and coordinates multiple projects and a variety of program activities including planning and setting program objectives oversees regulatory compliance activities including consistent interpretation and enforcement of policies procedures laws and or regulations may make recommendations for procedural and or policy changes supervises staff programs and administrative functions for assigned projects applies expert or in depth knowledge of subject area monitors industry trends and best practices frequent contacts with agriculture industry local state and federal agencies government officials professional associations and consumers to review industry compliance with laws regulations 
6,Agricultural Manager III ,applies in depth knowledge of laws policies and program areas administers and enforces assigned laws and regulations applies high level of technical expertise to manage staff and statewide programs projects and accomplish program objectives directs emergency response efforts for product recalls consumer alerts or natural disasters frequent contacts with agriculture industry businesses board members state and federal agencies professional associations and consumers to review industry compliance with laws regulations and or assess need for legislative changes ,"Proper decisions and actions directly impact public confidence and consumer satisfaction. Effective program implementation impacts the success, and fiscal responsibility of programs, staffing and customer service. ","Responsible for statewide programs including development of program objectives, budget, and allocation of resources and services. Identifies and implements strategies, initiatives, and procedures that support program mission and compliance/enforcement goals for the general welfare and safety of the public. Plans, directs and evaluates work of others through effective leadership skills, communication, and conflict resolution skills.  Develops goals, objectives and strategic plans for the assigned program; develops and modifies operating procedures and guidelines in accordance with industry trends, and changes in laws; evaluates program effectiveness; and recommends policy and legislative changes. ",__label__6 applies in depth knowledge of laws policies and program areas administers and enforces assigned laws and regulations applies high level of technical expertise to manage staff and statewide programs projects and accomplish program objectives directs emergency response efforts for product recalls consumer alerts or natural disasters frequent contacts with agriculture industry businesses board members state and federal agencies professional associations and consumers to review industry compliance with laws regulations and or assess need for legislative changes 
4,Agricultural Manager I ,interprets and applies program policies describes the nature of work in terms of resources used or encountered and the processes applied it takes into account the difficulty of work scope and range of assignments ksas and nature of contacts  research protocols and or teaching objectives applies knowledge of agricultural principals and techniques to plan and direct farm objectives and or research mission coordinates and schedules work activities training for staff or students and equipment and facility maintenance frequent contact with state and federal agencies extension offices research staff and faculty to review assess research methods farming practices and results as well as interaction with vendors and suppliers to coordinate order and delivery of supplies may interact with farmers markets and coops to sell market crops or livestock may interact with institutional security and rehabilitative staff to schedule inmates and ensure adequate inmate control ,"Management of resources, supplies, equipment, facilities and budget impact productivity and/or research findings or teaching objectives. Proper application of research protocols or farming methods impacts research findings, teaching objectives or farm production. ",Manages farm operations or research/teaching programs. Exercises independent judgment within scope of authority; refers significantly complex issues to upper management. Responsible for crop production and livestock operations.,__label__4 interprets and applies program policies describes the nature of work in terms of resources used or encountered and the processes applied it takes into account the difficulty of work scope and range of assignments ksas and nature of contacts  research protocols and or teaching objectives applies knowledge of agricultural principals and techniques to plan and direct farm objectives and or research mission coordinates and schedules work activities training for staff or students and equipment and facility maintenance frequent contact with state and federal agencies extension offices research staff and faculty to review assess research methods farming practices and results as well as interaction with vendors and suppliers to coordinate order and delivery of supplies may interact with farmers markets and coops to sell market crops or livestock may interact with institutional security and rehabilitative staff to schedule inmates and ensure adequate inmate control 
